PLANT_NAME,Forecast_Month,Predicted_Inventory_KT,Max_Capacity_KT,Utilization_%,Warehouse_Risk
CHINA-WAREHOUSE,2025-01-31,57.73462341561592,70.0,82.47803345087988,Overflow
CHINA-WAREHOUSE,2025-02-28,56.68014813937193,70.0,80.97164019910275,Overflow
CHINA-WAREHOUSE,2025-03-31,57.42813575429261,70.0,82.04019393470374,Overflow
SINGAPORE-WAREHOUSE,2025-01-31,44.918492517670465,53.5,83.95979909844947,Overflow
SINGAPORE-WAREHOUSE,2025-02-28,42.969693231934464,53.5,80.31718361109246,Overflow
SINGAPORE-WAREHOUSE,2025-03-31,42.04302001757976,53.5,78.58508414500889,Healthy
